panel,series,layer,band,cell,unit,metric,value
readability,image_residual_probe_accuracy,0,,,,accuracy,0.11333333333333333
readability,image_residual_probe_accuracy,1,,,,accuracy,0.9926666666666666
readability,image_residual_probe_accuracy,2,,,,accuracy,0.9966666666666667
readability,image_residual_probe_accuracy,3,,,,accuracy,1.0
readability,image_residual_probe_accuracy,4,,,,accuracy,1.0
readability,image_residual_probe_accuracy,5,,,,accuracy,1.0
readability,image_residual_probe_accuracy,6,,,,accuracy,1.0
readability,image_residual_probe_accuracy,7,,,,accuracy,1.0
readability,image_residual_probe_accuracy,8,,,,accuracy,1.0
readability,image_residual_probe_accuracy,9,,,,accuracy,1.0
readability,image_residual_probe_accuracy,10,,,,accuracy,1.0
readability,image_residual_probe_accuracy,11,,,,accuracy,1.0
readability,image_residual_probe_accuracy,12,,,,accuracy,1.0
readability,image_residual_probe_accuracy,13,,,,accuracy,1.0
readability,image_residual_probe_accuracy,14,,,,accuracy,1.0
readability,image_residual_probe_accuracy,15,,,,accuracy,1.0
readability,image_residual_probe_accuracy,16,,,,accuracy,1.0
readability,image_residual_probe_accuracy,17,,,,accuracy,1.0
writer_transition,prefix_marginal_effect,0,,,,fraction_of_endpoint_range,0.00022988805427077833
writer_transition,prefix_marginal_effect,1,,,,fraction_of_endpoint_range,0.012255567769730646
writer_transition,prefix_marginal_effect,2,,,,fraction_of_endpoint_range,0.006567943935717307
writer_transition,prefix_marginal_effect,3,,,,fraction_of_endpoint_range,0.02825145015805864
writer_transition,prefix_marginal_effect,4,,,,fraction_of_endpoint_range,0.0756435392551405
writer_transition,prefix_marginal_effect,5,,,,fraction_of_endpoint_range,0.013012324876202144
writer_transition,prefix_marginal_effect,6,,,,fraction_of_endpoint_range,0.19464767104745734
writer_transition,prefix_marginal_effect,7,,,,fraction_of_endpoint_range,0.43578794303327956
writer_transition,prefix_marginal_effect,8,,,,fraction_of_endpoint_range,0.13816043364622865
writer_transition,prefix_marginal_effect,9,,,,fraction_of_endpoint_range,0.04582148309848999
writer_transition,prefix_marginal_effect,10,,,,fraction_of_endpoint_range,0.009781669773469726
writer_transition,prefix_marginal_effect,11,,,,fraction_of_endpoint_range,-0.0014360845635028596
writer_transition,prefix_marginal_effect,12,,,,fraction_of_endpoint_range,0.010182159990554385
writer_transition,prefix_marginal_effect,13,,,,fraction_of_endpoint_range,-0.00047214841569964694
writer_transition,prefix_marginal_effect,14,,,,fraction_of_endpoint_range,0.026773098956331842
writer_transition,prefix_marginal_effect,15,,,,fraction_of_endpoint_range,0.004174478997488351
writer_transition,prefix_marginal_effect,16,,,,fraction_of_endpoint_range,0.0006185803867826412
writer_transition,prefix_marginal_effect,17,,,,fraction_of_endpoint_range,0.0
writer_transition,suffix_marginal_effect,0,,,,fraction_of_endpoint_range,0.00034604234886697125
writer_transition,suffix_marginal_effect,1,,,,fraction_of_endpoint_range,0.004597249093902655
writer_transition,suffix_marginal_effect,2,,,,fraction_of_endpoint_range,0.0024190564112045393
writer_transition,suffix_marginal_effect,3,,,,fraction_of_endpoint_range,0.02884220714279407
writer_transition,suffix_marginal_effect,4,,,,fraction_of_endpoint_range,0.1410442353552363
writer_transition,suffix_marginal_effect,5,,,,fraction_of_endpoint_range,0.05846049502033704
writer_transition,suffix_marginal_effect,6,,,,fraction_of_endpoint_range,0.45097440329360705
writer_transition,suffix_marginal_effect,7,,,,fraction_of_endpoint_range,0.14562316230277272
writer_transition,suffix_marginal_effect,8,,,,fraction_of_endpoint_range,0.0630108279694972
writer_transition,suffix_marginal_effect,9,,,,fraction_of_endpoint_range,0.051102086230774724
writer_transition,suffix_marginal_effect,10,,,,fraction_of_endpoint_range,0.018604618147915253
writer_transition,suffix_marginal_effect,11,,,,fraction_of_endpoint_range,0.003985008754710639
writer_transition,suffix_marginal_effect,12,,,,fraction_of_endpoint_range,0.017876273937042608
writer_transition,suffix_marginal_effect,13,,,,fraction_of_endpoint_range,-0.00036007202476606714
writer_transition,suffix_marginal_effect,14,,,,fraction_of_endpoint_range,0.010755652454235376
writer_transition,suffix_marginal_effect,15,,,,fraction_of_endpoint_range,0.0016105749140634673
writer_transition,suffix_marginal_effect,16,,,,fraction_of_endpoint_range,0.0011081786478054356
writer_transition,suffix_marginal_effect,17,,,,fraction_of_endpoint_range,0.0
causal_bands,image_KV_swap,,0-5,libero_goal_t0_vs_t6:A<-B,,cell_median_R,-7.2446712005529185e-06
causal_bands,image_KV_swap,,0-5,libero_goal_t0_vs_t6:B<-A,,cell_median_R,0.0005273336462665377
causal_bands,image_KV_swap,,0-5,libero_goal_t2_vs_t5:A<-B,,cell_median_R,0.0005489910316507911
causal_bands,image_KV_swap,,0-5,libero_goal_t2_vs_t5:B<-A,,cell_median_R,0.000875963216619148
causal_bands,image_KV_swap,,0-5,libero_goal_t9_vs_t6:A<-B,,cell_median_R,0.0008333704861997695
causal_bands,image_KV_swap,,0-5,libero_goal_t9_vs_t6:B<-A,,cell_median_R,0.0017485830918880447
causal_bands,image_KV_swap,,6-11,libero_goal_t0_vs_t6:A<-B,,cell_median_R,0.018337199460935684
causal_bands,image_KV_swap,,6-11,libero_goal_t0_vs_t6:B<-A,,cell_median_R,0.06674129744735739
causal_bands,image_KV_swap,,6-11,libero_goal_t2_vs_t5:A<-B,,cell_median_R,0.1604851999812512
causal_bands,image_KV_swap,,6-11,libero_goal_t2_vs_t5:B<-A,,cell_median_R,0.06799531142174683
causal_bands,image_KV_swap,,6-11,libero_goal_t9_vs_t6:A<-B,,cell_median_R,0.09115699049822909
causal_bands,image_KV_swap,,6-11,libero_goal_t9_vs_t6:B<-A,,cell_median_R,0.10438672362469217
causal_bands,image_KV_swap,,12-17,libero_goal_t0_vs_t6:A<-B,,cell_median_R,0.8500666250520081
causal_bands,image_KV_swap,,12-17,libero_goal_t0_vs_t6:B<-A,,cell_median_R,1.0000402514015065
causal_bands,image_KV_swap,,12-17,libero_goal_t2_vs_t5:A<-B,,cell_median_R,0.909672451732612
causal_bands,image_KV_swap,,12-17,libero_goal_t2_vs_t5:B<-A,,cell_median_R,0.8141373846243168
causal_bands,image_KV_swap,,12-17,libero_goal_t9_vs_t6:A<-B,,cell_median_R,0.6967367207948038
causal_bands,image_KV_swap,,12-17,libero_goal_t9_vs_t6:B<-A,,cell_median_R,0.802271594475221
layer6_8_transform,matched_full,,6-8,libero_goal_t0_vs_t6,,cell_median_progress_to_B,0.10394186717647846
layer6_8_transform,matched_full,,6-8,libero_goal_t0_vs_t9,,cell_median_progress_to_B,0.16783028845867926
layer6_8_transform,matched_full,,6-8,libero_goal_t2_vs_t3,,cell_median_progress_to_B,0.6572772634126579
layer6_8_transform,matched_full,,6-8,libero_goal_t2_vs_t5,,cell_median_progress_to_B,0.6536860591046537
layer6_8_transform,matched_full,,6-8,libero_goal_t3_vs_t2,,cell_median_progress_to_B,0.19002285813761607
layer6_8_transform,matched_full,,6-8,libero_goal_t3_vs_t5,,cell_median_progress_to_B,0.2959080613521321
layer6_8_transform,matched_full,,6-8,libero_goal_t5_vs_t2,,cell_median_progress_to_B,0.11109332189245039
layer6_8_transform,matched_full,,6-8,libero_goal_t5_vs_t3,,cell_median_progress_to_B,0.38710924441076505
layer6_8_transform,matched_full,,6-8,libero_goal_t6_vs_t0,,cell_median_progress_to_B,0.4655730939710707
layer6_8_transform,matched_full,,6-8,libero_goal_t6_vs_t9,,cell_median_progress_to_B,0.06760745825773652
layer6_8_transform,matched_full,,6-8,libero_goal_t9_vs_t0,,cell_median_progress_to_B,0.3840730168784011
layer6_8_transform,matched_full,,6-8,libero_goal_t9_vs_t6,,cell_median_progress_to_B,0.4841742465965281
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t0_vs_t6,,cell_median_progress_to_B,-0.011090688170577189
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t0_vs_t9,,cell_median_progress_to_B,0.01605100587515982
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t2_vs_t3,,cell_median_progress_to_B,0.10150484983317552
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t2_vs_t5,,cell_median_progress_to_B,0.1105132578874954
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t3_vs_t2,,cell_median_progress_to_B,0.04175489442273873
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t3_vs_t5,,cell_median_progress_to_B,0.13036993774209044
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t5_vs_t2,,cell_median_progress_to_B,0.008305732599710855
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t5_vs_t3,,cell_median_progress_to_B,0.07677808962667497
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t6_vs_t0,,cell_median_progress_to_B,0.02945092653848117
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t6_vs_t9,,cell_median_progress_to_B,-0.004929698421906532
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t9_vs_t0,,cell_median_progress_to_B,0.10248242745922172
layer6_8_transform,matched_attention_only,,6-8,libero_goal_t9_vs_t6,,cell_median_progress_to_B,0.038692008861921964
layer6_8_transform,random_norm_matched,,6-8,libero_goal_t0_vs_t6,,cell_median_progress_to_B,-0.015458801164878617
layer6_8_transform,random_norm_matched,,6-8,libero_goal_t0_vs_t9,,cell_median_progress_to_B,-0.010295370554147225
