condition,unit,D_to_A
prefill_instr_src,0,1.0
prefill_instr_src,1,1.0
prefill_instr_src,2,1.0
prefill_instr_src,3,1.0
prefill_instr_src,4,1.0
prefill_instr_src,5,1.0
prefill_instr_src,6,1.0
prefill_instr_src,7,1.0
prefill_instr_src,8,1.0
prefill_instr_src,9,1.0
prefill_instr_src,10,1.0
prefill_instr_src,11,1.0
prefill_instr_src,12,1.0
prefill_instr_src,13,1.0
prefill_instr_src,14,1.0
prefill_instr_src,15,1.0
prefill_instr_src,16,1.0
prefill_instr_src,17,1.0
prefill_instr_src,18,1.0
prefill_instr_src,19,1.0
prefill_instr_src,20,1.0
prefill_instr_src,21,1.0
prefill_instr_src,22,1.0
prefill_instr_src,23,1.0
prefill_instr_src,24,1.0
prefill_instr_src,25,1.0
prefill_instr_src,26,1.0
prefill_instr_src,27,1.0
prefill_instr_src,28,1.0
prefill_instr_src,29,1.0
prefill_instr_src,30,1.0
prefill_instr_src,31,1.0
prefill_instr_src,32,1.0
prefill_instr_src,33,1.0
prefill_instr_src,34,1.0
prefill_instr_src,35,1.0
prefill_instr_src,36,1.0
prefill_instr_src,37,1.0
prefill_instr_src,38,1.0
prefill_instr_src,39,1.0
prefill_instr_src,40,1.0
prefill_instr_src,41,1.0
prefill_instr_src,42,1.0
prefill_instr_src,43,1.0
prefill_instr_src,44,1.0
prefill_instr_src,45,1.0
prefill_instr_src,46,1.0
prefill_instr_src,47,1.0
prefill_instr_src,48,1.0
prefill_instr_src,49,1.0
prefill_instr_src,50,1.0
prefill_instr_src,51,1.0
prefill_instr_src,52,1.0
prefill_instr_src,53,1.0
prefill_instr_src,54,1.0
prefill_instr_src,55,1.0
prefill_instr_src,56,1.0
prefill_instr_src,57,1.0
prefill_instr_src,58,1.0
prefill_instr_src,59,1.0
prefill_instr_src,60,1.0
prefill_instr_src,61,1.0
prefill_instr_src,62,1.0
prefill_instr_src,63,1.0
prefill_instr_src,64,1.0
prefill_instr_src,65,1.0
prefill_instr_src,66,1.0
prefill_instr_src,67,1.0
prefill_instr_src,68,1.0
prefill_instr_src,69,1.0
prefill_instr_src,70,1.0
prefill_instr_src,71,1.0
prefill_instr_src,72,1.0
prefill_instr_src,73,1.0
prefill_instr_src,74,1.0
prefill_instr_src,75,1.0
prefill_instr_src,76,1.0
prefill_instr_src,77,1.0
prefill_instr_src,78,1.0
prefill_instr_src,79,1.0
prefill_instr_src,80,1.0
prefill_instr_src,81,1.0
prefill_instr_src,82,1.0
prefill_instr_src,83,1.0
prefill_instr_src,84,1.0
prefill_instr_src,85,1.0
prefill_instr_src,86,1.0
prefill_instr_src,87,1.0
prefill_instr_src,88,1.0
prefill_instr_src,89,1.0
prefill_instr_src,90,1.0
prefill_instr_src,91,1.0
prefill_instr_src,92,1.0
prefill_instr_src,93,1.0
prefill_instr_src,94,1.0
prefill_instr_src,95,1.0
prefill_instr_src,96,1.0
prefill_instr_src,97,1.0
prefill_instr_src,98,1.0
prefill_instr_src,99,1.0
prefill_instr_src,100,1.0
prefill_instr_src,101,1.0
prefill_instr_src,102,1.0
prefill_instr_src,103,1.0
prefill_instr_src,104,1.0
prefill_instr_src,105,1.0
prefill_instr_src,106,1.0
prefill_instr_src,107,1.0
prefill_instr_src,108,1.0
prefill_instr_src,109,1.0
prefill_instr_src,110,1.0
prefill_instr_src,111,1.0
prefill_instr_src,112,1.0
prefill_instr_src,113,1.0
prefill_instr_src,114,1.0
prefill_instr_src,115,1.0
prefill_instr_src,116,1.0
prefill_instr_src,117,1.0
prefill_instr_src,118,1.0
prefill_instr_src,119,1.0
prefill_instr_src,120,1.0
prefill_instr_src,121,1.0
prefill_instr_src,122,1.0
prefill_instr_src,123,1.0
prefill_instr_src,124,1.0
prefill_instr_src,125,1.0
prefill_instr_src,126,1.0
prefill_instr_src,127,1.0
prefill_instr_src,128,1.0
prefill_instr_src,129,1.0
prefill_instr_src,130,1.0
prefill_instr_src,131,1.0
prefill_instr_src,132,1.0
prefill_instr_src,133,1.0
prefill_instr_src,134,1.0
prefill_instr_src,135,1.0
prefill_instr_src,136,1.0
prefill_instr_src,137,1.0
prefill_instr_src,138,1.0
prefill_instr_src,139,1.0
prefill_instr_src,140,1.0
prefill_instr_src,141,1.0
prefill_instr_src,142,1.0
prefill_instr_src,143,1.0
prefill_instr_src,144,1.0
prefill_instr_src,145,1.0
prefill_instr_src,146,1.0
prefill_instr_src,147,1.0
prefill_instr_src,148,1.0
prefill_instr_src,149,1.0
prefill_restore_instr_dst,0,0.9484317898750305
prefill_restore_instr_dst,1,1.004688024520874
prefill_restore_instr_dst,2,0.8950256705284119
prefill_restore_instr_dst,3,0.9671663045883179
prefill_restore_instr_dst,4,0.9676634669303894
prefill_restore_instr_dst,5,0.9663519859313965
prefill_restore_instr_dst,6,0.9238989353179932
prefill_restore_instr_dst,7,0.9223039746284485
prefill_restore_instr_dst,8,0.9578547477722168
prefill_restore_instr_dst,9,1.0315982103347778
prefill_restore_instr_dst,10,0.9466190338134766
prefill_restore_instr_dst,11,1.0075548887252808
prefill_restore_instr_dst,12,1.0073689222335815
prefill_restore_instr_dst,13,1.0001392364501953
prefill_restore_instr_dst,14,0.9534434676170349
prefill_restore_instr_dst,15,0.9993652701377869
prefill_restore_instr_dst,16,0.978750467300415
prefill_restore_instr_dst,17,1.0022540092468262
prefill_restore_instr_dst,18,0.9965352416038513
prefill_restore_instr_dst,19,0.9959918856620789
prefill_restore_instr_dst,20,0.9898689985275269
prefill_restore_instr_dst,21,1.0274035930633545
prefill_restore_instr_dst,22,0.9754409193992615
prefill_restore_instr_dst,23,0.9954678416252136
prefill_restore_instr_dst,24,0.9264450073242188
prefill_restore_instr_dst,25,1.0585194826126099
prefill_restore_instr_dst,26,0.9702399373054504
prefill_restore_instr_dst,27,1.009075403213501
prefill_restore_instr_dst,28,0.9587942361831665
prefill_restore_instr_dst,29,1.0318667888641357
prefill_restore_instr_dst,30,0.9980219006538391
prefill_restore_instr_dst,31,1.0037626028060913
prefill_restore_instr_dst,32,0.9535814523696899
prefill_restore_instr_dst,33,0.9775487184524536
prefill_restore_instr_dst,34,0.8849645256996155
prefill_restore_instr_dst,35,0.9782378673553467
prefill_restore_instr_dst,36,0.9319877624511719
prefill_restore_instr_dst,37,0.9748631715774536
prefill_restore_instr_dst,38,0.9852098226547241
prefill_restore_instr_dst,39,0.9987280964851379
prefill_restore_instr_dst,40,0.9554222226142883
prefill_restore_instr_dst,41,1.020163655281067
prefill_restore_instr_dst,42,0.9856828451156616
prefill_restore_instr_dst,43,0.9860263466835022
prefill_restore_instr_dst,44,0.9764325618743896
prefill_restore_instr_dst,45,0.9922588467597961
prefill_restore_instr_dst,46,0.979256272315979
prefill_restore_instr_dst,47,1.0092121362686157
prefill_restore_instr_dst,48,0.8682633638381958
prefill_restore_instr_dst,49,0.9873946905136108
prefill_restore_instr_dst,50,1.0059682130813599
prefill_restore_instr_dst,51,1.00960111618042
prefill_restore_instr_dst,52,0.9949151873588562
prefill_restore_instr_dst,53,0.9755507111549377
prefill_restore_instr_dst,54,0.9962114691734314
prefill_restore_instr_dst,55,0.9871020913124084
prefill_restore_instr_dst,56,1.0202810764312744
prefill_restore_instr_dst,57,1.0101829767227173
prefill_restore_instr_dst,58,1.0001505613327026
prefill_restore_instr_dst,59,0.9946162104606628
prefill_restore_instr_dst,60,1.0051665306091309
prefill_restore_instr_dst,61,0.9980199933052063
prefill_restore_instr_dst,62,0.972683310508728
prefill_restore_instr_dst,63,0.9767646789550781
prefill_restore_instr_dst,64,1.0012964010238647
prefill_restore_instr_dst,65,0.9896887540817261
prefill_restore_instr_dst,66,1.0026249885559082
prefill_restore_instr_dst,67,1.0127755403518677
prefill_restore_instr_dst,68,1.0008645057678223
prefill_restore_instr_dst,69,1.01437509059906
prefill_restore_instr_dst,70,0.9945825934410095
prefill_restore_instr_dst,71,0.9813806414604187
prefill_restore_instr_dst,72,0.987775444984436
prefill_restore_instr_dst,73,0.9842099547386169
prefill_restore_instr_dst,74,0.9974676966667175
prefill_restore_instr_dst,75,1.0157365798950195
prefill_restore_instr_dst,76,0.9795674681663513
prefill_restore_instr_dst,77,0.9924312233924866
prefill_restore_instr_dst,78,1.0163129568099976
prefill_restore_instr_dst,79,0.9940292239189148
prefill_restore_instr_dst,80,0.9603628516197205
prefill_restore_instr_dst,81,0.9569546580314636
prefill_restore_instr_dst,82,1.0029113292694092
prefill_restore_instr_dst,83,1.0135442018508911
prefill_restore_instr_dst,84,0.9910444021224976
prefill_restore_instr_dst,85,0.9847581386566162
prefill_restore_instr_dst,86,1.0121906995773315
prefill_restore_instr_dst,87,0.9949772357940674
prefill_restore_instr_dst,88,0.9988739490509033
prefill_restore_instr_dst,89,0.9823097586631775
prefill_restore_instr_dst,90,1.0017282962799072
prefill_restore_instr_dst,91,0.9886866211891174
prefill_restore_instr_dst,92,1.0019558668136597
prefill_restore_instr_dst,93,0.994360625743866
prefill_restore_instr_dst,94,1.0184860229492188
prefill_restore_instr_dst,95,1.0171602964401245
prefill_restore_instr_dst,96,0.9801854491233826
prefill_restore_instr_dst,97,0.9806585311889648
prefill_restore_instr_dst,98,0.9933019280433655
prefill_restore_instr_dst,99,1.0105535984039307
prefill_restore_instr_dst,100,0.9992925524711609
prefill_restore_instr_dst,101,0.9564692378044128
prefill_restore_instr_dst,102,0.9896301031112671
prefill_restore_instr_dst,103,0.8984225392341614
prefill_restore_instr_dst,104,1.0014729499816895
prefill_restore_instr_dst,105,0.9281702637672424
prefill_restore_instr_dst,106,0.989715576171875
prefill_restore_instr_dst,107,0.9838982224464417
prefill_restore_instr_dst,108,1.0008115768432617
prefill_restore_instr_dst,109,0.9012191891670227
prefill_restore_instr_dst,110,0.985203742980957
prefill_restore_instr_dst,111,0.9287457466125488
prefill_restore_instr_dst,112,0.9961727261543274
prefill_restore_instr_dst,113,0.9129766821861267
prefill_restore_instr_dst,114,0.9847409129142761
prefill_restore_instr_dst,115,0.9168908596038818
prefill_restore_instr_dst,116,0.9894385933876038
prefill_restore_instr_dst,117,0.9187053442001343
prefill_restore_instr_dst,118,0.9914713501930237
prefill_restore_instr_dst,119,0.9670390486717224
prefill_restore_instr_dst,120,0.9994810819625854
prefill_restore_instr_dst,121,0.9481449723243713
prefill_restore_instr_dst,122,0.988634467124939
prefill_restore_instr_dst,123,1.0175081491470337
prefill_restore_instr_dst,124,0.9882596731185913
prefill_restore_instr_dst,125,0.9512621760368347
prefill_restore_instr_dst,126,0.9645783305168152
prefill_restore_instr_dst,127,0.9784464836120605
prefill_restore_instr_dst,128,0.9921880960464478
prefill_restore_instr_dst,129,0.9552625417709351
prefill_restore_instr_dst,130,0.9864993691444397
prefill_restore_instr_dst,131,0.9636979103088379
prefill_restore_instr_dst,132,0.9891204237937927
prefill_restore_instr_dst,133,0.9391638040542603
prefill_restore_instr_dst,134,0.9997724294662476
prefill_restore_instr_dst,135,0.9627236723899841
prefill_restore_instr_dst,136,0.9952864646911621
prefill_restore_instr_dst,137,0.8958753347396851
prefill_restore_instr_dst,138,0.9562695622444153
prefill_restore_instr_dst,139,0.9843599200248718
prefill_restore_instr_dst,140,0.9813941717147827
prefill_restore_instr_dst,141,0.9114083647727966
prefill_restore_instr_dst,142,0.9937645196914673
prefill_restore_instr_dst,143,0.9071478843688965
prefill_restore_instr_dst,144,0.9869983792304993
prefill_restore_instr_dst,145,0.9116829633712769
prefill_restore_instr_dst,146,0.987938642501831
prefill_restore_instr_dst,147,0.9548100829124451
prefill_restore_instr_dst,148,0.9493829011917114
prefill_restore_instr_dst,149,0.9564560651779175
prefill_restore_noninstr_dst,0,0.029072051867842674
prefill_restore_noninstr_dst,1,0.09720887243747711
prefill_restore_noninstr_dst,2,0.08999311178922653
prefill_restore_noninstr_dst,3,0.25836145877838135
prefill_restore_noninstr_dst,4,0.14775894582271576
prefill_restore_noninstr_dst,5,0.0434604212641716
prefill_restore_noninstr_dst,6,0.11315859109163284
prefill_restore_noninstr_dst,7,0.1012791320681572
prefill_restore_noninstr_dst,8,0.06420300900936127
prefill_restore_noninstr_dst,9,0.06311220675706863
prefill_restore_noninstr_dst,10,0.04748029634356499
prefill_restore_noninstr_dst,11,0.10731310397386551
prefill_restore_noninstr_dst,12,0.04952354356646538
prefill_restore_noninstr_dst,13,0.028874123468995094
prefill_restore_noninstr_dst,14,0.06685579568147659
prefill_restore_noninstr_dst,15,0.12833796441555023
prefill_restore_noninstr_dst,16,0.05482304468750954
prefill_restore_noninstr_dst,17,0.03607996553182602
prefill_restore_noninstr_dst,18,0.05090503767132759
prefill_restore_noninstr_dst,19,0.03135531395673752
prefill_restore_noninstr_dst,20,0.09433908015489578
prefill_restore_noninstr_dst,21,0.029993675649166107
prefill_restore_noninstr_dst,22,0.06252767145633698
prefill_restore_noninstr_dst,23,0.09345228970050812
prefill_restore_noninstr_dst,24,0.10508173704147339
prefill_restore_noninstr_dst,25,0.09894823282957077
