layer,IMG,FMT,INSTR,OBJ,STATE
0,0.3668375577926636,0.5341441243489583,0.0005195667743682861,8.86907974878947e-05,0.008559226925174395
1,0.0354504033724467,0.7761448745727539,0.019831080158551534,0.009081744869550068,0.10331887690226237
2,0.290245140393575,0.3245428835550944,0.014826809624830881,0.004360517725348473,0.11072828753789266
3,0.34678677972157795,0.22837235031525294,0.01946970001856486,0.006847788915038109,0.13226073265075683
4,0.32312540626525876,0.1615161992708842,0.01569856106241544,0.0059569301058848695,0.10652167208989462
5,0.3298452924092611,0.3978395792643229,0.022372487435738244,0.008435902163386345,0.12221449247996012
6,0.24007630030314128,0.24353357442220053,0.04781740561127663,0.015596372624238332,0.12159781567255656
7,0.19837126715977987,0.1340837008158366,0.010824874257047971,0.0033191433250904082,0.044657706340154014
8,0.3808511958122253,0.35711543504397075,0.05286434243122737,0.008147519141435623,0.06862164305647214
9,0.3727423055966695,0.13025848863522213,0.022521681914726893,0.005993675688902537,0.013178009619315464
10,0.45402194595336914,0.21189151573181153,0.055751078526179,0.014963173518578211,0.05169510579109192
11,0.147524880250295,0.7189196325937907,0.038370069434245424,0.01725350526471933,0.026518210540215175
12,0.3658205134073893,0.12381869578361511,0.11504506913820903,0.05224801641702652,0.020621031761169435
13,0.3427796389261881,0.2523655168215434,0.02871394451459249,0.015142775485912958,0.012657004594802856
14,0.42767628224690757,0.10602848918239276,0.06110586002469063,0.02236642763018608,0.030421288539965948
15,0.26086034493148325,0.049448792745669684,0.021070245986183483,0.007008980691432953,0.011756943091750145
16,0.08974667073786259,0.13790986229479313,0.0782865573167801,0.012213093648354212,0.01057365723947684
17,0.05053968728085359,0.03166106335818768,0.00412533179918925,0.001942543625831604,0.005089506154259046
