cell,arm,n_pos,D_B
libero_goal_t0_vs_t6,LOC,4,0.9947432045961228
libero_goal_t0_vs_t6,RAND,4,0.999843737797434
libero_goal_t0_vs_t6,LOC,8,0.9939288514635382
libero_goal_t0_vs_t6,RAND,8,0.9994823885198449
libero_goal_t0_vs_t6,LOC,16,0.9890739914360267
libero_goal_t0_vs_t6,RAND,16,0.9995950608510735
libero_goal_t0_vs_t6,LOC,32,0.9758748301900402
libero_goal_t0_vs_t6,RAND,32,0.9769727905556975
libero_goal_t0_vs_t6,LOC,64,0.9582716110348719
libero_goal_t0_vs_t6,RAND,64,0.9913361521101917
libero_goal_t0_vs_t6,LOC,128,0.9396852866755989
libero_goal_t0_vs_t6,RAND,128,0.9188676656812831
libero_goal_t0_vs_t6,LOC,256,0.9295151349618541
libero_goal_t0_vs_t6,RAND,256,0.7595498984145728
libero_goal_t0_vs_t6,LOC,512,0.20646472961645224
libero_goal_t0_vs_t6,RAND,512,0.20646472961645224
libero_goal_t0_vs_t9,LOC,4,0.9979100741709218
libero_goal_t0_vs_t9,RAND,4,0.9979907149657175
libero_goal_t0_vs_t9,LOC,8,0.9928196018453804
libero_goal_t0_vs_t9,RAND,8,0.9980284416376966
libero_goal_t0_vs_t9,LOC,16,0.992637584051413
libero_goal_t0_vs_t9,RAND,16,1.0
libero_goal_t0_vs_t9,LOC,32,0.9907139023223751
libero_goal_t0_vs_t9,RAND,32,0.9898296907970175
libero_goal_t0_vs_t9,LOC,64,0.989097453159883
libero_goal_t0_vs_t9,RAND,64,0.9846959099585815
libero_goal_t0_vs_t9,LOC,128,0.9762593500121537
libero_goal_t0_vs_t9,RAND,128,0.9102015919220245
libero_goal_t0_vs_t9,LOC,256,0.9146211109889467
libero_goal_t0_vs_t9,RAND,256,0.8305427669023026
libero_goal_t0_vs_t9,LOC,512,0.5374616312475522
libero_goal_t0_vs_t9,RAND,512,0.5374616312475522
libero_goal_t2_vs_t5,LOC,4,0.9977920298433706
libero_goal_t2_vs_t5,RAND,4,0.9996024421234933
libero_goal_t2_vs_t5,LOC,8,0.9955786520733206
libero_goal_t2_vs_t5,RAND,8,0.9996522488600335
libero_goal_t2_vs_t5,LOC,16,0.9900974119162169
libero_goal_t2_vs_t5,RAND,16,0.9936244931055702
libero_goal_t2_vs_t5,LOC,32,0.9669909570837933
libero_goal_t2_vs_t5,RAND,32,0.9284737473588025
libero_goal_t2_vs_t5,LOC,64,0.9594702840550001
libero_goal_t2_vs_t5,RAND,64,0.9201399403725303
libero_goal_t2_vs_t5,LOC,128,0.9586661442080162
libero_goal_t2_vs_t5,RAND,128,0.7252940297677671
libero_goal_t2_vs_t5,LOC,256,0.9337706012739228
libero_goal_t2_vs_t5,RAND,256,0.4508769341720094
libero_goal_t2_vs_t5,LOC,512,0.21512685567800796
libero_goal_t2_vs_t5,RAND,512,0.21512685567800796
libero_goal_t3_vs_t2,LOC,4,0.9958908619083188
libero_goal_t3_vs_t2,RAND,4,0.9958078898531529
libero_goal_t3_vs_t2,LOC,8,0.9993703772631589
libero_goal_t3_vs_t2,RAND,8,0.9956421382533901
libero_goal_t3_vs_t2,LOC,16,0.9994745640694594
libero_goal_t3_vs_t2,RAND,16,0.9991387706358812
libero_goal_t3_vs_t2,LOC,32,0.9986180777775411
libero_goal_t3_vs_t2,RAND,32,0.9982766453878318
libero_goal_t3_vs_t2,LOC,64,0.9968498747306855
libero_goal_t3_vs_t2,RAND,64,0.9985911467743692
libero_goal_t3_vs_t2,LOC,128,0.9893834184223111
libero_goal_t3_vs_t2,RAND,128,0.9870913963176579
libero_goal_t3_vs_t2,LOC,256,0.9619815690381401
libero_goal_t3_vs_t2,RAND,256,0.9444620645213041
libero_goal_t3_vs_t2,LOC,512,0.34654023024423725
libero_goal_t3_vs_t2,RAND,512,0.34654023024423725
libero_goal_t3_vs_t5,LOC,4,0.9965118795676584
libero_goal_t3_vs_t5,RAND,4,0.9942433203991378
libero_goal_t3_vs_t5,LOC,8,0.9924093447301571
libero_goal_t3_vs_t5,RAND,8,0.9981776746721698
libero_goal_t3_vs_t5,LOC,16,0.9884383633591733
libero_goal_t3_vs_t5,RAND,16,0.9982820281543823
libero_goal_t3_vs_t5,LOC,32,0.9809444117667239
libero_goal_t3_vs_t5,RAND,32,0.9932693473659756
libero_goal_t3_vs_t5,LOC,64,0.955118749134793
libero_goal_t3_vs_t5,RAND,64,0.9851159683218997
libero_goal_t3_vs_t5,LOC,128,0.9501069677386014
libero_goal_t3_vs_t5,RAND,128,0.8724097258044697
libero_goal_t3_vs_t5,LOC,256,0.8876389088743746
libero_goal_t3_vs_t5,RAND,256,0.8043977697091876
libero_goal_t3_vs_t5,LOC,512,0.2594606471186671
libero_goal_t3_vs_t5,RAND,512,0.2594606471186671
libero_goal_t5_vs_t2,LOC,4,0.9989602233175063
libero_goal_t5_vs_t2,RAND,4,0.996911499645564
libero_goal_t5_vs_t2,LOC,8,0.9991095308180995
libero_goal_t5_vs_t2,RAND,8,0.9988071939909168
libero_goal_t5_vs_t2,LOC,16,0.9987881064620089
libero_goal_t5_vs_t2,RAND,16,0.9984640003053781
libero_goal_t5_vs_t2,LOC,32,0.9982880319698463
libero_goal_t5_vs_t2,RAND,32,0.9749713691044525
libero_goal_t5_vs_t2,LOC,64,0.9952578196380951
libero_goal_t5_vs_t2,RAND,64,0.9977229639205444
libero_goal_t5_vs_t2,LOC,128,0.9827467661653475
libero_goal_t5_vs_t2,RAND,128,0.9871136143449768
libero_goal_t5_vs_t2,LOC,256,0.839912770601923
libero_goal_t5_vs_t2,RAND,256,0.9001041010789966
libero_goal_t5_vs_t2,LOC,512,0.23974242778393873
libero_goal_t5_vs_t2,RAND,512,0.23974242778393873
libero_goal_t6_vs_t9,LOC,4,0.9977163798569839
libero_goal_t6_vs_t9,RAND,4,0.9961348964558574
libero_goal_t6_vs_t9,LOC,8,0.996748705427161
libero_goal_t6_vs_t9,RAND,8,0.9989529248247332
libero_goal_t6_vs_t9,LOC,16,0.9996574140333935
libero_goal_t6_vs_t9,RAND,16,0.9967147227915781
libero_goal_t6_vs_t9,LOC,32,0.998127748186639
libero_goal_t6_vs_t9,RAND,32,0.9921717726825026
libero_goal_t6_vs_t9,LOC,64,0.9935942256658576
libero_goal_t6_vs_t9,RAND,64,0.9929545468596717
libero_goal_t6_vs_t9,LOC,128,0.987127200899835
libero_goal_t6_vs_t9,RAND,128,0.9719961156298881
libero_goal_t6_vs_t9,LOC,256,0.9660718219744894
libero_goal_t6_vs_t9,RAND,256,0.8136225111070392
libero_goal_t6_vs_t9,LOC,512,0.40715955004224985
libero_goal_t6_vs_t9,RAND,512,0.40715955004224985
libero_goal_t9_vs_t6,LOC,4,0.9986803781908706
libero_goal_t9_vs_t6,RAND,4,0.993090466481417
libero_goal_t9_vs_t6,LOC,8,0.9985620903631787
libero_goal_t9_vs_t6,RAND,8,1.0
libero_goal_t9_vs_t6,LOC,16,0.9819565507549785
libero_goal_t9_vs_t6,RAND,16,0.9975493627798122
libero_goal_t9_vs_t6,LOC,32,0.9765536237892629
libero_goal_t9_vs_t6,RAND,32,0.9614350532855904
libero_goal_t9_vs_t6,LOC,64,0.9687891453669407
libero_goal_t9_vs_t6,RAND,64,0.9753737669952504
libero_goal_t9_vs_t6,LOC,128,0.9447562359645146
libero_goal_t9_vs_t6,RAND,128,0.9132760214920962
libero_goal_t9_vs_t6,LOC,256,0.926826947322124
libero_goal_t9_vs_t6,RAND,256,0.860299583586353
libero_goal_t9_vs_t6,LOC,512,0.20583714694306726
libero_goal_t9_vs_t6,RAND,512,0.20583714694306726
