condition,cell_index,cell_median_preference_A
clean_B,0,-1.0
clean_B,1,-1.0
clean_B,2,-1.0
clean_B,3,-1.0
clean_B,4,-1.0
clean_B,5,-1.0
clean_B,6,-1.0
clean_B,7,-1.0
clean_B,8,-1.0
clean_B,9,-1.0
clean_B,10,-1.0
clean_B,11,-1.0
writer_block_other,0,-0.8507956452667713
writer_block_other,1,-0.633697122335434
writer_block_other,2,-0.8548068106174469
writer_block_other,3,-0.9616273194551468
writer_block_other,4,-0.7822026312351227
writer_block_other,5,-0.8668953441083431
writer_block_other,6,-0.8512042760848999
writer_block_other,7,-0.6849540993571281
writer_block_other,8,-0.8630754575133324
writer_block_other,9,-0.7975850068032742
writer_block_other,10,-0.803524062037468
writer_block_other,11,-0.9524145964533091
writer_block_image,0,0.8385596424341202
writer_block_image,1,0.4817245602607727
writer_block_image,2,0.8450160808861256
writer_block_image,3,0.8796740137040615
writer_block_image,4,0.644533284008503
writer_block_image,5,0.6692326366901398
writer_block_image,6,0.8058273270726204
writer_block_image,7,0.6690268442034721
writer_block_image,8,0.8509683534502983
writer_block_image,9,0.8992792405188084
writer_block_image,10,0.23416565358638763
writer_block_image,11,0.632810153067112
writer_block_all_noninstruction,0,0.9344218391925097
writer_block_all_noninstruction,1,0.7142382860183716
writer_block_all_noninstruction,2,0.945598728954792
writer_block_all_noninstruction,3,0.9454730749130249
writer_block_all_noninstruction,4,0.9310376308858395
writer_block_all_noninstruction,5,0.9321957714855671
writer_block_all_noninstruction,6,0.8244932442903519
writer_block_all_noninstruction,7,0.883739061653614
writer_block_all_noninstruction,8,0.9869928495027125
writer_block_all_noninstruction,9,0.9804574511945248
writer_block_all_noninstruction,10,0.4975961893796921
writer_block_all_noninstruction,11,0.7788674309849739
writer_rescue_l0_image_selected,0,0.9344279635697603
writer_rescue_l0_image_selected,1,0.714399017393589
writer_rescue_l0_image_selected,2,0.9455003906041384
writer_rescue_l0_image_selected,3,0.9454800933599472
writer_rescue_l0_image_selected,4,0.930977301672101
writer_rescue_l0_image_selected,5,0.9323830120265484
writer_rescue_l0_image_selected,6,0.8246939815580845
writer_rescue_l0_image_selected,7,0.8835305161774158
writer_rescue_l0_image_selected,8,0.9870556057430804
writer_rescue_l0_image_selected,9,0.9803290516138077
writer_rescue_l0_image_selected,10,0.4977170079946518
writer_rescue_l0_image_selected,11,0.7788706943392754
