edge_type,intervention,k_edges,endpoint_fraction
top,remove,1,0.0
top,remove,2,0.16666666666666666
top,remove,4,0.75
top,remove,8,0.8333333333333334
top,remove,13,0.9166666666666666
random,remove,1,0.0
random,remove,2,0.0
random,remove,4,0.0
random,remove,8,0.0
random,remove,13,0.0
top,rescue,1,0.4166666666666667
top,rescue,2,0.9166666666666666
top,rescue,4,1.0
top,rescue,8,1.0
top,rescue,13,1.0
random,rescue,1,0.08333333333333333
random,rescue,2,0.08333333333333333
random,rescue,4,0.08333333333333333
random,rescue,8,0.08333333333333333
random,rescue,13,0.08333333333333333
